time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-26T23:00:27.771Z,18.0089,-66.7283,10,2.5,ml,,144,0.039,1.04,us,us600084yl,2020-02-26T23:15:37.040Z,"1km NW of Tallaboa, Puerto Rico",earthquake,1.9,1.6,0.063,33,reviewed,us,us
2020-02-26T21:19:58.650Z,17.9298,-67.0303,5,2.54,md,9,242,0.1102,0.13,pr,pr2020057031,2020-02-26T22:27:03.880Z,"5km SSE of La Parguera, Puerto Rico",earthquake,0.75,0.48,0.22,5,reviewed,pr,pr
2020-02-26T20:53:51.230Z,17.8926,-66.7805,12,2.54,md,8,242,0.1286,0.18,pr,pr2020057030,2020-02-26T21:25:46.726Z,"11km SSE of Indios, Puerto Rico",earthquake,1.22,0.62,0.01,2,reviewed,pr,pr
2020-02-26T20:21:32.529Z,-30.9789,-71.4117,43.99,4.9,mwr,,83,0.359,0.84,us,us600084u3,2020-02-26T23:45:24.465Z,"46km SSW of Ovalle, Chile",earthquake,6,3.4,,,reviewed,us,guc
2020-02-26T19:44:44.941Z,63.0546,-150.4325,101.7,2.6,ml,,,,0.51,ak,ak0202ml7jlw,2020-02-26T19:55:14.172Z,"83km NNW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-02-26T18:56:29.370Z,17.8181,-66.9043,5,2.9,md,10,257,0.159,0.15,pr,pr2020057027,2020-02-26T19:54:28.532Z,"27km S of Guanica, Puerto Rico",earthquake,0.78,0.42,0.19,5,reviewed,pr,pr
2020-02-26T18:44:16.490Z,39.652668,-120.0356674,1.49,2.85,md,13,120,0.07303,0.1,nc,nc73346460,2020-02-26T22:55:02.377Z,"6km WSW of Cold Springs, NV",earthquake,0.51,1.32,0.19,14,automatic,nc,nc
2020-02-26T18:34:13.170Z,38.8345,-122.7873333,2.29,3.68,mw,86,46,0.004557,0.06,nc,nc73346395,2020-02-26T22:55:02.145Z,"6km WNW of Cobb, CA",earthquake,0.1,0.15,,3,reviewed,nc,nc
2020-02-26T18:31:33.540Z,38.8318329,-122.7914963,1.57,2.84,md,56,33,0.006628,0.06,nc,nc73346365,2020-02-26T21:15:04.502Z,"6km W of Cobb, CA",earthquake,0.14,0.21,0.19,42,automatic,nc,nc
2020-02-26T18:11:53.454Z,31.6576,-104.4872,4.62,3.5,ml,,75,0.475,0.55,us,us600084r6,2020-02-26T20:12:59.807Z,"75km NNE of Van Horn, Texas",earthquake,0.8,5.1,0.046,62,reviewed,us,us
2020-02-26T17:14:43.789Z,2.6504,-79.5627,10,4.5,mb,,157,2.641,0.98,us,us600084nf,2020-02-26T17:56:17.040Z,"111km WNW of Francisco Pizarro, Colombia",earthquake,10.7,1.9,0.067,65,reviewed,us,us
2020-02-26T15:55:46.130Z,17.9238,-66.9683,11,2.86,md,9,232,0.1028,0.12,pr,pr2020057022,2020-02-26T22:51:12.040Z,"3km SSW of Guanica, Puerto Rico",earthquake,0.75,0.39,0.31,4,reviewed,pr,pr
2020-02-26T15:41:09.089Z,-8.8922,126.0774,10,4.4,mb,,80,1.981,0.98,us,us600084m8,2020-02-26T22:41:21.040Z,"59km ESE of Aileu, East Timor",earthquake,9.9,1.9,0.134,16,reviewed,us,us
2020-02-26T15:04:09.071Z,33.0076,76.2936,10,5,mb,,68,2.612,0.74,us,us600084lt,2020-02-26T19:45:26.984Z,"51km NNE of Chamba, India",earthquake,6.6,1.4,0.051,125,reviewed,us,us
2020-02-26T14:51:35.110Z,17.9721,-66.879,15,2.84,md,11,205,0.003,0.26,pr,pr2020057023,2020-02-26T17:20:24.816Z,"1km ESE of Maria Antonia, Puerto Rico",earthquake,1.17,0.81,0.35,6,reviewed,pr,pr
2020-02-26T14:42:31.250Z,17.9438,-67.0176,6,2.73,md,8,230,0.1113,0.12,pr,pr2020057019,2020-02-26T16:26:13.880Z,"4km SE of La Parguera, Puerto Rico",earthquake,0.6,0.37,0.08,3,reviewed,pr,pr
2020-02-26T14:39:48.550Z,17.9261,-66.936,13,2.92,md,11,227,0.075,0.13,pr,pr2020057018,2020-02-26T15:16:22.222Z,"5km SSW of Guanica, Puerto Rico",earthquake,0.83,0.38,0.25,5,reviewed,pr,pr
2020-02-26T14:09:01.500Z,36.4389992,-120.6316681,12.73,2.57,md,47,49,,0.21,nc,nc73346290,2020-02-26T16:16:04.978Z,"4km ENE of New Idria, CA",earthquake,0.36,1.01,0.13,33,automatic,nc,nc
2020-02-26T13:28:16.110Z,-5.7802,153.4371,10,4.9,mb,,64,2.025,0.64,us,us600084la,2020-02-26T13:53:51.040Z,"151km SSE of Taron, Papua New Guinea",earthquake,6.4,1.8,0.083,45,reviewed,us,us
2020-02-26T12:15:25.700Z,17.9443,-66.9513,12,2.88,md,7,220,0.0784,0.1,pr,pr2020057020,2020-02-26T16:06:02.766Z,"5km WSW of Guanica, Puerto Rico",earthquake,0.88,0.45,0.06,3,reviewed,pr,pr
2020-02-26T10:44:18.263Z,-20.4902,-178.6797,601.59,4.6,mb,,91,4.123,1.04,us,us600084ja,2020-02-26T11:05:56.040Z,"17km N of Ndoi Island, Fiji",earthquake,7.6,7.3,0.032,283,reviewed,us,us
2020-02-26T10:37:00.600Z,77.3903,7.3364,10,4.4,mb,,96,2.077,0.99,us,us600084j7,2020-02-26T10:57:37.040Z,"216km WSW of Longyearbyen, Svalbard and Jan Mayen",earthquake,7.8,1.5,0.101,28,reviewed,us,us
2020-02-26T09:45:00.460Z,17.93,-66.9676,10,3.05,md,10,229,0.0992,0.15,pr,pr2020057016,2020-02-26T14:55:31.141Z,"7km SW of Guanica, Puerto Rico",earthquake,0.81,0.5,0.36,3,reviewed,pr,pr
2020-02-26T09:21:15.300Z,40.3006668,-124.5439987,17.83,2.76,md,17,271,0.1545,0.11,nc,nc73346175,2020-02-26T21:53:24.772Z,"22km W of Petrolia, CA",earthquake,2.04,0.44,0.13,14,automatic,nc,nc
2020-02-26T09:05:23.530Z,17.9606,-66.7418,15,2.61,md,9,217,0.1382,0.09,pr,pr2020057017,2020-02-26T11:43:53.336Z,"4km SW of Tallaboa, Puerto Rico",earthquake,0.95,0.69,0.27,2,reviewed,pr,pr
2020-02-26T08:47:18.180Z,17.8875,-66.9081,10,2.81,md,10,241,0.0922,0.05,pr,pr2020057015,2020-02-26T09:02:08.670Z,"9km S of Guanica, Puerto Rico",earthquake,0.67,0.47,0.17,2,reviewed,pr,pr
2020-02-26T08:40:37.140Z,17.9116,-66.9393,13,3.18,md,10,234,0.0874,0.1,pr,pr2020057014,2020-02-26T09:00:04.988Z,"7km SSW of Guanica, Puerto Rico",earthquake,0.99,0.38,0.19,4,reviewed,pr,pr
2020-02-26T08:03:36.930Z,17.9361,-66.8675,10,2.75,md,10,221,0.0407,0.07,pr,pr2020057013,2020-02-26T08:38:43.728Z,"5km SE of Guanica, Puerto Rico",earthquake,0.75,0.36,0.26,5,reviewed,pr,pr
2020-02-26T07:41:32.820Z,18.0021,-66.8021,15,3,md,10,173,0.0817,0.12,pr,pr2020057012,2020-02-26T12:17:24.267Z,"2km SSW of Guayanilla, Puerto Rico",earthquake,1.02,1.16,0.15,6,reviewed,pr,pr
2020-02-26T07:37:38.740Z,17.9141,-66.893,5,2.93,md,10,230,0.0625,0.06,pr,pr2020057010,2020-02-26T07:51:21.946Z,"6km SSE of Guanica, Puerto Rico",earthquake,0.73,0.36,0.17,5,reviewed,pr,pr
